target_bound,first_target_step,first_target_train_seconds,seed,method,parameter_count,amplitude_parameter_count,selected_step,selected_train_seconds,validation_bound,test_bound,test_mc_se,test_trajectories,total_train_seconds,train_trajectories_per_second
,,,11,deepsets,34359,5360,400,6.707033600891009,1.1489014574326575,1.0929199429228902,0.0723352092977791,512,8.372309157508425,1911.0617750720462
,,,11,raw,34343,5344,500,8.155099337920547,1.1778518594801426,1.0587813484016806,0.07022444762972792,512,8.155099337920547,1961.9626122273344
,,,11,mean_var,34354,5355,500,8.263670020620339,1.1640181578695774,1.142261701868847,0.06124932965018706,512,8.263670020620339,1936.1857334665099
,,,11,expanded_stats,34351,5352,400,7.208174156257883,1.1806228270288557,1.1511114513268694,0.06932316702015522,512,8.998910843976773,1777.992945747346
,,,22,raw,34343,5344,450,7.340777195175178,0.9927433519624174,0.9422620604746044,0.06579398115186116,512,8.15299167111516,1962.469808068813
,,,22,mean_var,34354,5355,500,8.19996311236173,1.0954677608096972,0.9601758802309632,0.06104229539041477,512,8.19996311236173,1951.2282897808948
,,,22,expanded_stats,34351,5352,500,8.93097624136135,1.055350098060444,1.108010720112361,0.0577891790573509,512,8.93097624136135,1791.5174744167853
,,,22,deepsets,34359,5360,500,8.243746177759022,0.7551273496355861,0.7022102447226644,0.06520018227540457,512,8.243746177759022,1940.8651910179792
,,,33,mean_var,34354,5355,500,8.243886639829725,1.071167660644278,1.0102209877222776,0.061424527454227947,512,8.243886639829725,1940.832121914097
,,,33,expanded_stats,34351,5352,500,9.026783369132318,0.9665758310584351,0.9990336785558611,0.057611431182945094,512,9.026783369132318,1772.5029332943845
,,,33,deepsets,34359,5360,500,8.406154638389125,0.9773776604561135,1.0168343040859327,0.0575213813495003,512,8.406154638389125,1903.3673169574342
,,,33,raw,34343,5344,500,8.181459023850039,0.7977535381214693,0.7573192740092054,0.05943182079228323,512,8.181459023850039,1955.641402512422
