seed,method,step,trajectories_seen,train_seconds,training_bound_interval_mean,gradient_inf_norm_interval_mean,validation_bound,validation_mc_se
11,expanded_stats,0,0,0.0,,,0.12208949611522257,0.03999828361777864
11,expanded_stats,50,1600,0.898194435518235,0.12870290338993073,0.09349265974014997,0.14087583078071475,0.03989971824344006
11,expanded_stats,100,3200,1.802547575556673,0.12796945706009866,0.12597206920385362,0.23938632826320827,0.0427737311205031
11,expanded_stats,150,4800,2.70196286321152,0.35738878816366193,0.22195195600390435,0.5330708140973002,0.05409353236402646
11,expanded_stats,200,6400,3.6026591567788273,0.6827551257610321,0.4639204117655754,1.0952741838991642,0.05585501634615847
11,expanded_stats,250,8000,4.50837033148855,1.035688943862915,0.4645349857211113,1.1666321587981656,0.05433790375363284
11,expanded_stats,300,9600,5.410057834931649,1.0830115830898286,0.5868762737512588,1.173585400916636,0.05403112532999346
11,expanded_stats,350,11200,6.304398216307163,1.1296843230724334,0.524784867465496,1.1724520192947239,0.053595400760172794
11,expanded_stats,400,12800,7.208174156257883,1.1704247140884398,0.5935099375247955,1.1806228270288557,0.05309849978875386
11,expanded_stats,450,14400,8.10363068699371,1.131839201450348,0.5927893859148026,1.173650421667844,0.05182729242246232
11,expanded_stats,500,16000,8.998910843976773,1.1297157871723176,0.7785667288303375,1.1702539352700114,0.05152729506202878
