seed,method,step,trajectories_seen,train_seconds,training_bound_interval_mean,gradient_inf_norm_interval_mean,validation_bound,validation_mc_se
11,raw,0,0,0.0,,,0.11929646041244268,0.04011834913135105
11,raw,50,1600,0.8078821252565831,0.12566573090851307,0.09344452049583196,0.13217750506009907,0.039868607506125864
11,raw,100,3200,1.6221786459209397,0.10717662915587425,0.1027469813078642,0.18220348993781954,0.041167063378416066
11,raw,150,4800,2.4405452109640464,0.2335464569926262,0.15086663603782655,0.39580783538986,0.04881567684929319
11,raw,200,6400,3.2544268131023273,0.4285269060730934,0.2352228866517544,0.6965480929939076,0.05642334163652962
11,raw,250,8000,4.069292385363951,0.8316213232278824,0.33706316113471985,1.015944855287671,0.05308578005967168
11,raw,300,9600,4.890584498178214,1.0039554965496063,0.40947130009531973,1.1379477016162127,0.052743301581736464
11,raw,350,11200,5.706770641147159,1.0715093898773194,0.4138865959644318,1.1563810645602643,0.051547963790895546
11,raw,400,12800,6.527172700501978,1.12584046125412,0.43393828004598617,1.1636219541542232,0.05158844624223661
11,raw,450,14400,7.341527838259935,1.096744831800461,0.4913928037881851,1.1727256402373314,0.05158114305108223
11,raw,500,16000,8.155099337920547,1.0728907883167267,0.5138271969556808,1.1778518594801426,0.0519596025752059
