scenario,seed,method,step,examples,compute_seconds,data_seconds,train_seconds,train_mse,validation_rmse,best_validation_rmse
physical_fixed,11,deepsets,0,0,0.0,0.0,0.0,,0.44827132885165316,0.44827132885165316
physical_fixed,11,deepsets,100,51200,0.13767331675626338,0.047899896278977394,0.18557321303524077,0.04924056536518037,0.12750833187836844,0.12750833187836844
physical_fixed,11,deepsets,200,102400,0.27164418587926775,0.09556721523404121,0.36721140111330897,0.01658556907437742,0.1268999680811063,0.1268999680811063
physical_fixed,11,deepsets,300,153600,0.4063400193117559,0.1480858080321923,0.5544258273439482,0.016499131564050914,0.12442169220489373,0.12442169220489373
physical_fixed,11,deepsets,400,204800,0.5408105385722592,0.19585549738258123,0.7366660359548405,0.013498223954811692,0.10531414976925374,0.10531414976925374
physical_fixed,11,deepsets,500,256000,0.6746538858860731,0.24353497009724379,0.9181888559833169,0.010929263941943646,0.10494137548674522,0.10494137548674522
physical_fixed,11,deepsets,600,307200,0.8077435888117179,0.2926592458970845,1.1004028347088024,0.010856750728562474,0.1049058120627635,0.1049058120627635
physical_fixed,11,deepsets,700,358400,0.9403491842094809,0.3402445699321106,1.2805937541415915,0.010998686756938696,0.10490482809728503,0.10490482809728503
physical_fixed,11,deepsets,800,409600,1.0737945404835045,0.38784189347643405,1.4616364339599386,0.011015694560483099,0.10576329215886401,0.10490482809728503
physical_fixed,11,deepsets,900,460800,1.2078606769209728,0.43688888649921864,1.6447495634201914,0.011086521055549383,0.10502009144489365,0.10490482809728503
physical_fixed,11,deepsets,1000,512000,1.340147411217913,0.4843081959988922,1.8244556072168052,0.01078270104713738,0.10492668573612716,0.10490482809728503
physical_fixed,11,deepsets,1100,563200,1.4731356342090294,0.5318101061275229,2.0049457403365523,0.010759473564103245,0.10516190923332777,0.10490482809728503
physical_fixed,11,deepsets,1200,614400,1.6071969225304201,0.5796465043677017,2.186843426898122,0.010922371903434395,0.10605878459128318,0.10490482809728503
physical_fixed,11,deepsets,1300,665600,1.7412419759202749,0.6287158703198656,2.3699578462401405,0.010919124651700259,0.10479310845363188,0.10479310845363188
physical_fixed,11,deepsets,1400,716800,1.9163328565191478,0.6941584314918146,2.6104912880109623,0.010939655648544431,0.10501589047600353,0.10479310845363188
physical_fixed,11,deepsets,1500,768000,2.0468105897307396,0.7500140757765621,2.7968246655073017,0.010950755057856441,0.1047893830220567,0.1047893830220567
physical_fixed,11,deepsets,1600,819200,2.160183765576221,0.7972260382957757,2.9574098038719967,0.011031467318534851,0.1051035557640192,0.1047893830220567
physical_fixed,11,deepsets,1700,870400,2.2731053043389693,0.8443981787422672,3.1175034830812365,0.010889593483880163,0.1047530516663742,0.1047530516663742
physical_fixed,11,deepsets,1800,921600,2.386067798710428,0.8917466577840969,3.277814456494525,0.01093001825734973,0.10500112027712752,0.1047530516663742
