scenario,seed,method,level,n,mae,rmse,bias,corr,median_effective_snr_db
physical_fixed,11,moments,fixed,10000,0.30996983438745374,0.365085948463572,0.1784971478266991,0.0724579315239307,-17.43743324279785
physical_fixed,11,moments_clipped,fixed,10000,0.30996983438745374,0.365085948463572,0.1784971478266991,0.0724579315239307,-17.43743324279785
physical_fixed,11,known_sigma,fixed,10000,0.13006191392433247,0.16012766747244855,0.022809609401371563,0.5079890678111494,-17.43743324279785
physical_fixed,11,prior_mean,fixed,10000,0.09935818385332823,0.12666828210453301,-0.0003985837742686272,,-17.43743324279785
physical_fixed,11,prior_median,fixed,10000,0.09641793197095394,0.13057270672248497,-0.03169443433582783,,-17.43743324279785
physical_fixed,11,deepsets,fixed,10000,0.08243712889105081,0.10258082585715288,0.002272584229707718,0.5874079305167869,-17.43743324279785
physical_fixed,11,raw,fixed,10000,0.08322544215768576,0.10391877643337333,-0.0012922938123345377,0.573017391485032,-17.43743324279785
physical_fixed,11,mean_var,fixed,10000,0.08223373984843493,0.10249978986243832,0.0005986296012997627,0.5881916082055395,-17.43743324279785
physical_fixed,11,expanded_stats,fixed,10000,0.08225607571937144,0.10261764943995495,-0.0007593520250171424,0.5871305917451652,-17.43743324279785
physical_fixed,22,moments,fixed,10000,0.30868214242693504,0.3631432198019312,0.17652940880048557,0.08531480469248821,-17.52757453918457
physical_fixed,22,moments_clipped,fixed,10000,0.30868214242693504,0.3631432198019312,0.17652940880048557,0.08531480469248821,-17.52757453918457
physical_fixed,22,known_sigma,fixed,10000,0.12922283476861193,0.1597690602418721,0.022367944784183056,0.5111060365390384,-17.52757453918457
physical_fixed,22,prior_mean,fixed,10000,0.1023102895885706,0.12829889069193795,0.00015005242824554443,,-17.52757453918457
physical_fixed,22,prior_median,fixed,10000,0.09922450083568693,0.13181179437940607,-0.030228572040051225,,-17.52757453918457
physical_fixed,22,raw,fixed,10000,0.08725861673876643,0.10696306587264431,0.003554170555621386,0.5619781443379829,-17.52757453918457
physical_fixed,22,mean_var,fixed,10000,0.08397045487090946,0.1039469260965478,0.001144964871555567,0.586355307569415,-17.52757453918457
physical_fixed,22,expanded_stats,fixed,10000,0.08397146974094212,0.10404354346263343,0.00028619240112602714,0.5853938336632263,-17.52757453918457
physical_fixed,22,deepsets,fixed,10000,0.08348237659931183,0.1038907289855103,-0.0014889683172106744,0.5868814866986803,-17.52757453918457
physical_fixed,33,moments,fixed,10000,0.3114279539304145,0.3654497282592305,0.17925831589826266,0.07791524723363341,-17.440563201904297
physical_fixed,33,moments_clipped,fixed,10000,0.3114279539304145,0.3654497282592305,0.17925831589826266,0.07791524723363341,-17.440563201904297
physical_fixed,33,known_sigma,fixed,10000,0.13043705949298456,0.161210223458501,0.02100829244591878,0.4976944991724742,-17.440563201904297
physical_fixed,33,prior_mean,fixed,10000,0.10195303141176701,0.12854156187663426,-0.0002016094297170639,,-17.440563201904297
physical_fixed,33,prior_median,fixed,10000,0.09906083381995559,0.13245060714456386,-0.03194167879894376,,-17.440563201904297
physical_fixed,33,mean_var,fixed,10000,0.08502469351366163,0.10544031697737435,0.0005482767052948475,0.5719813007483535,-17.440563201904297
physical_fixed,33,expanded_stats,fixed,10000,0.08485452984645964,0.10542433744455407,-0.00037898433282971384,0.5721630385411071,-17.440563201904297
physical_fixed,33,deepsets,fixed,10000,0.08493648486807943,0.10553227278013241,-0.00018729772940278053,0.5710163929254083,-17.440563201904297
physical_fixed,33,raw,fixed,10000,0.08669051904156805,0.10699996877996858,0.003908551245182753,0.5550218008909847,-17.440563201904297
physical_snr,11,moments,-10.0,10000,0.5235900520123657,0.7100519262363417,0.3835701349692303,0.2909499304890897,-20.440608978271484
physical_snr,11,moments_clipped,-10.0,10000,0.4056468975819764,0.4991298237523963,0.2656269805388409,0.2192275346114603,-20.440608978271484
physical_snr,11,known_sigma,-10.0,10000,0.21988494516489446,0.29951390792660426,0.06981118441932485,0.34003479493774874,-20.440608978271484
physical_snr,11,prior_mean,-10.0,10000,0.09935818385332823,0.12666828210453301,-0.0003985837742686272,,-20.440608978271484
physical_snr,11,prior_median,-10.0,10000,0.09641793197095394,0.13057270672248497,-0.03169443433582783,,-20.440608978271484
physical_snr,11,moments,-5.0,10000,0.2880789415471256,0.36959513477655365,0.15173391759172083,0.31668001854417177,-15.440608978271484
physical_snr,11,moments_clipped,-5.0,10000,0.28227455279156566,0.3571126106723601,0.1459295288361609,0.3096405247191752,-15.440608978271484
physical_snr,11,known_sigma,-5.0,10000,0.12747701123807928,0.1693827650125685,0.00701014870866784,0.5256684902007112,-15.440608978271484
physical_snr,11,prior_mean,-5.0,10000,0.09935818385332823,0.12666828210453301,-0.0003985837742686272,,-15.440608978271484
physical_snr,11,prior_median,-5.0,10000,0.09641793197095394,0.13057270672248497,-0.03169443433582783,,-15.440608978271484
physical_snr,11,moments,0.0,10000,0.15572983884243297,0.19768778890884148,0.03391575946221128,0.4335841668144911,-10.440608978271484
physical_snr,11,moments_clipped,0.0,10000,0.15572983884243297,0.19768778890884148,0.03391575946221128,0.4335841668144911,-10.440608978271484
physical_snr,11,known_sigma,0.0,10000,0.06446074834912434,0.0890865672578993,-0.005239754475367954,0.8035655825185537,-10.440608978271484
physical_snr,11,prior_mean,0.0,10000,0.09935818385332823,0.12666828210453301,-0.0003985837742686272,,-10.440608978271484
physical_snr,11,prior_median,0.0,10000,0.09641793197095394,0.13057270672248497,-0.03169443433582783,,-10.440608978271484
physical_snr,11,moments,5.0,10000,0.07327071396671236,0.10322443883097593,-0.002679660242982209,0.7386339348822882,-5.440609931945801
physical_snr,11,moments_clipped,5.0,10000,0.07327071396671236,0.10322443883097593,-0.002679660242982209,0.7386339348822882,-5.440609931945801
physical_snr,11,known_sigma,5.0,10000,0.028520025986823024,0.04168037128169337,-0.0029240700622729494,0.9496690834994427,-5.440609931945801
physical_snr,11,prior_mean,5.0,10000,0.09935818385332823,0.12666828210453301,-0.0003985837742686272,,-5.440609931945801
physical_snr,11,prior_median,5.0,10000,0.09641793197095394,0.13057270672248497,-0.03169443433582783,,-5.440609931945801
