scenario,seed,method,level,nu_low,nu_high,n,mae,rmse,bias,corr
physical_fixed,11,moments,fixed,0.0,0.1,3817,0.32050196431033223,0.4053869013418652,0.2754772579459862,-0.004208937391867188
physical_fixed,11,moments,fixed,0.1,0.2,3048,0.3125370093217985,0.3563648359229184,0.19406536536833902,0.00943771690618941
physical_fixed,11,moments,fixed,0.2,0.3,1702,0.2989876153501304,0.3181578453556896,0.0991794736629087,-0.02281140032742231
physical_fixed,11,moments,fixed,0.3,0.4,826,0.2958461927299638,0.3130089879004243,0.013322814397026784,0.05699909404427637
physical_fixed,11,moments,fixed,0.4,0.5,384,0.2844071053744604,0.3193238300117659,-0.037596703274175525,0.05368493302386199
physical_fixed,11,moments,fixed,0.5,0.6,169,0.29737846385797806,0.3574120152944676,-0.1266277520614263,0.03942456723963995
physical_fixed,11,moments,fixed,0.6,0.7,45,0.21037506461143493,0.29491284551015634,-0.03133287363582187,-0.0552037555155539
physical_fixed,11,moments,fixed,0.7,0.8,8,0.15751951187849045,0.2650946576485886,-0.0387515053153038,0.3798793880903128
physical_fixed,11,moments,fixed,0.8,0.9,1,0.2873423099517822,0.2873423099517822,-0.2873423099517822,
physical_fixed,11,moments_clipped,fixed,0.0,0.1,3817,0.32050196431033223,0.4053869013418652,0.2754772579459862,-0.004208937391867188
physical_fixed,11,moments_clipped,fixed,0.1,0.2,3048,0.3125370093217985,0.3563648359229184,0.19406536536833902,0.00943771690618941
physical_fixed,11,moments_clipped,fixed,0.2,0.3,1702,0.2989876153501304,0.3181578453556896,0.0991794736629087,-0.02281140032742231
physical_fixed,11,moments_clipped,fixed,0.3,0.4,826,0.2958461927299638,0.3130089879004243,0.013322814397026784,0.05699909404427637
physical_fixed,11,moments_clipped,fixed,0.4,0.5,384,0.2844071053744604,0.3193238300117659,-0.037596703274175525,0.05368493302386199
physical_fixed,11,moments_clipped,fixed,0.5,0.6,169,0.29737846385797806,0.3574120152944676,-0.1266277520614263,0.03942456723963995
physical_fixed,11,moments_clipped,fixed,0.6,0.7,45,0.21037506461143493,0.29491284551015634,-0.03133287363582187,-0.0552037555155539
physical_fixed,11,moments_clipped,fixed,0.7,0.8,8,0.15751951187849045,0.2650946576485886,-0.0387515053153038,0.3798793880903128
physical_fixed,11,moments_clipped,fixed,0.8,0.9,1,0.2873423099517822,0.2873423099517822,-0.2873423099517822,
physical_fixed,11,known_sigma,fixed,0.0,0.1,3817,0.1260625613341529,0.16578617345105032,0.07204683042685046,0.015191957855777469
