scenario,level,seed,comparison,mae_delta,rmse_delta
physical_fixed,fixed,11,deepsets_minus_raw,-0.000788313266634949,-0.0013379505762204508
physical_fixed,fixed,11,deepsets_minus_mean_var,0.0002033890426158813,8.103599471455392e-05
physical_fixed,fixed,11,deepsets_minus_expanded_stats,0.0001810531716793795,-3.682358280207576e-05
physical_fixed,fixed,22,deepsets_minus_raw,-0.003776240139454601,-0.003072336887134014
physical_fixed,fixed,22,deepsets_minus_mean_var,-0.0004880782715976223,-5.6197111037506464e-05
physical_fixed,fixed,22,deepsets_minus_expanded_stats,-0.0004890931416302868,-0.00015281447712313379
physical_fixed,fixed,33,deepsets_minus_raw,-0.001754034173488614,-0.0014676959998361633
physical_fixed,fixed,33,deepsets_minus_mean_var,-8.820864558219121e-05,9.195580275805915e-05
physical_fixed,fixed,33,deepsets_minus_expanded_stats,8.195502161979784e-05,0.00010793533557834634
physical_snr,-10.0,11,deepsets_minus_raw,0.002610462175123396,0.0026960848780512303
physical_snr,-10.0,11,deepsets_minus_mean_var,0.00362895282283425,0.0032596879319694294
physical_snr,-10.0,11,deepsets_minus_expanded_stats,0.003139063642174006,0.002509225361266687
physical_snr,-5.0,11,deepsets_minus_raw,0.001505698774754996,0.001475798610043974
physical_snr,-5.0,11,deepsets_minus_mean_var,0.004743859932571648,0.003408114017623573
physical_snr,-5.0,11,deepsets_minus_expanded_stats,0.00585045874379575,0.004237718955114836
physical_snr,0.0,11,deepsets_minus_raw,0.0017843696663156217,0.0014064296740192161
physical_snr,0.0,11,deepsets_minus_mean_var,0.0032581211869604915,0.00259355215866236
physical_snr,0.0,11,deepsets_minus_expanded_stats,0.0020515721910633195,0.0007012995601342054
physical_snr,5.0,11,deepsets_minus_raw,-0.007347150016017261,-0.012212924800627703
physical_snr,5.0,11,deepsets_minus_mean_var,-0.0006513216767460098,0.0012814671067977318
physical_snr,5.0,11,deepsets_minus_expanded_stats,0.0011792482270859203,0.003327624055864953
physical_snr,10.0,11,deepsets_minus_raw,-0.029002574101369825,-0.048694705914623854
physical_snr,10.0,11,deepsets_minus_mean_var,-0.002405002264678484,-0.0030559673066808263
physical_snr,10.0,11,deepsets_minus_expanded_stats,0.010675839844625439,0.011560586948342534
physical_snr,-10.0,22,deepsets_minus_raw,-0.05714390718331562,-0.08384125506196041
physical_snr,-10.0,22,deepsets_minus_mean_var,0.002081466963328421,0.001567436438364364
physical_snr,-10.0,22,deepsets_minus_expanded_stats,-0.0007685829030349839,-0.0016534802573092422
physical_snr,-5.0,22,deepsets_minus_raw,-0.0763923105252383,-0.09838343049830765
physical_snr,-5.0,22,deepsets_minus_mean_var,0.0030370035463943984,0.002864658229266792
physical_snr,-5.0,22,deepsets_minus_expanded_stats,0.003965530448779467,0.0036680108715244353
physical_snr,0.0,22,deepsets_minus_raw,-0.09424952161252731,-0.10941918841685186
physical_snr,0.0,22,deepsets_minus_mean_var,-0.0008143129393458348,-0.000732065665567036
physical_snr,0.0,22,deepsets_minus_expanded_stats,0.00018674090281128874,0.0006434926042241523
physical_snr,5.0,22,deepsets_minus_raw,-0.1001132510520285,-0.1164022561510355
physical_snr,5.0,22,deepsets_minus_mean_var,0.005896862699277701,0.009726318523507263
physical_snr,5.0,22,deepsets_minus_expanded_stats,0.006247679556440559,0.010853808236480952
physical_snr,10.0,22,deepsets_minus_raw,-0.09525978805613705,-0.12069696235773957
physical_snr,10.0,22,deepsets_minus_mean_var,0.021193728516530244,0.03044051053752507
physical_snr,10.0,22,deepsets_minus_expanded_stats,0.029286091373581437,0.038791587079164705
physical_snr,-10.0,33,deepsets_minus_raw,0.0009093277305364522,0.0018736608714081393
physical_snr,-10.0,33,deepsets_minus_mean_var,0.008707696672156442,0.008971005681203112
physical_snr,-10.0,33,deepsets_minus_expanded_stats,0.006284637180902053,0.006377604642605311
physical_snr,-5.0,33,deepsets_minus_raw,-0.0007621430535800777,0.0006764796955310987
physical_snr,-5.0,33,deepsets_minus_mean_var,0.004568021599855282,0.003760737869416997
physical_snr,-5.0,33,deepsets_minus_expanded_stats,0.0058625613949261635,0.004635208123725421
physical_snr,0.0,33,deepsets_minus_raw,-0.001372471606172626,-0.0002306150276213531
physical_snr,0.0,33,deepsets_minus_mean_var,-0.0005649641118943699,-0.0007480483343813987
physical_snr,0.0,33,deepsets_minus_expanded_stats,0.000940174244530495,0.0012193924965809289
physical_snr,5.0,33,deepsets_minus_raw,-0.003699162286054339,-0.00774914580455624
physical_snr,5.0,33,deepsets_minus_mean_var,0.002477423183526846,0.0038160474155444074
physical_snr,5.0,33,deepsets_minus_expanded_stats,0.003391070922464129,0.005237609286286388
physical_snr,10.0,33,deepsets_minus_raw,-0.014729900131747124,-0.02854464949269636
physical_snr,10.0,33,deepsets_minus_mean_var,0.01001124355429784,0.013337788027487744
physical_snr,10.0,33,deepsets_minus_expanded_stats,0.020360911759175364,0.023377451409790112
uniform_fixed,fixed,11,deepsets_minus_raw,-0.0024420263856649443,-0.00267631814762391
uniform_fixed,fixed,11,deepsets_minus_mean_var,-0.00020151228159666357,7.548295985693176e-05
uniform_fixed,fixed,11,deepsets_minus_expanded_stats,-0.00020291913934052108,8.540491516467741e-06
uniform_fixed,fixed,22,deepsets_minus_raw,-0.002662765684351337,-0.0025138704225494135
uniform_fixed,fixed,22,deepsets_minus_mean_var,-0.0002981154929846547,-0.00017061967454187754
uniform_fixed,fixed,22,deepsets_minus_expanded_stats,-0.00012123149707914116,2.773079786259902e-05
uniform_fixed,fixed,33,deepsets_minus_raw,-0.0019239107802510313,-0.0018488821345104406
uniform_fixed,fixed,33,deepsets_minus_mean_var,-3.820023313172438e-06,-7.905828727132469e-05
uniform_fixed,fixed,33,deepsets_minus_expanded_stats,-7.945501059300475e-06,1.0223291916008903e-05
