scenario,seed,method,parameters,best_step,warmup_seconds,compute_seconds,data_seconds,train_seconds,examples_per_compute_second,inference_batch_size,inference_ms,permutation_max_difference,peak_allocated_mb
physical_fixed,11,deepsets,5937,3000,0.12521223595831543,3.7481935045216233,1.461495713563636,5.209689218085259,409797.4125794334,512,0.34992646348352235,1.043081283569336e-07,82.4755859375
physical_fixed,11,raw,5921,2700,0.0056923519587144256,2.485804755240679,1.4071589786326513,3.89296373387333,617908.5452152828,512,0.07244663235420983,0.03816065192222595,27.53955078125
physical_fixed,11,mean_var,5932,2800,0.0064299909863621,2.5399798976723105,1.4100627092411742,3.9500426069134846,604729.1954584451,512,0.1071418325106303,3.8743019104003906e-07,27.54150390625
physical_fixed,11,expanded_stats,5929,2300,0.006536726024933159,3.0112575539387763,1.4112838129512966,4.422541366890073,510085.8935134545,512,0.24578243416423598,2.384185791015625e-07,27.53759765625
physical_fixed,22,raw,5921,2800,0.006012957077473402,2.3803280879510567,1.409313379554078,3.7896414675051346,645289.1968023455,512,0.0730499664011101,0.06474322080612183,27.5009765625
physical_fixed,22,mean_var,5932,2200,0.0060808369889855385,2.535698604420759,1.408136239508167,3.9438348439289257,605750.2249368771,512,0.10793603335817654,3.5762786865234375e-07,27.54150390625
physical_fixed,22,expanded_stats,5929,2500,0.006455757073126733,3.1673099558101967,1.4181699936743826,4.585479949484579,484954.1160890557,512,0.24779289960861206,3.8743019104003906e-07,27.53759765625
physical_fixed,22,deepsets,5937,2300,0.007821167004294693,3.4345487121026963,1.4265716146910563,4.861120326793753,447220.3275462154,512,0.35501130235691863,8.940696716308594e-08,82.38916015625
physical_fixed,33,mean_var,5932,2600,0.005956416018307209,2.544292484293692,1.4101900367531925,3.9544825210468844,603704.1768908111,512,0.10774426627904177,3.8743019104003906e-07,27.5029296875
physical_fixed,33,expanded_stats,5929,2900,0.006153434980660677,3.0587620896985754,1.425277037662454,4.484039127361029,502163.9326487679,512,0.2440224983729422,5.364418029785156e-07,27.53759765625
physical_fixed,33,deepsets,5937,2200,0.006588460993953049,3.4001953286351636,1.4128188099712133,4.813014138606377,451738.7536722926,512,0.3520548033217589,1.4901161193847656e-07,82.38916015625
physical_fixed,33,raw,5921,2400,0.005236430908553302,2.3674163575051352,1.4084872617386281,3.7759036192437634,648808.5609151952,512,0.07320786826312542,0.0759354829788208,27.53955078125
physical_snr,11,deepsets,5937,3000,0.007093788008205593,3.418445357121527,1.4914413177175447,4.909886674839072,449327.0593897618,512,0.3506941992479066,8.940696716308594e-08,103.8759765625
physical_snr,11,raw,5921,2700,0.0050461930222809315,2.385723333340138,1.474267894984223,3.859991228324361,643829.8936572495,512,0.07239039987325668,0.04420500993728638,49.06298828125
physical_snr,11,mean_var,5932,2600,0.005754946963861585,2.53760357783176,1.474437236902304,4.012040814734064,605295.4895785676,512,0.10821300093084574,1.6391277313232422e-07,49.06494140625
physical_snr,11,expanded_stats,5929,2000,0.006091219023801386,3.0148263908922672,1.4869907937245443,4.501817184616812,509482.0732099953,512,0.2462025343750914,2.2351741790771484e-07,49.06103515625
physical_snr,22,raw,5921,1600,0.005405423929914832,2.388361022225581,1.4799255053512752,3.8682865275768563,643118.8525127942,512,0.07366360320399205,0.0036980099976062775,49.0244140625
physical_snr,22,mean_var,5932,3000,0.00570764800067991,2.6584168223198503,1.5308725937502459,4.189289416070096,577787.4963413824,512,0.10800286739443739,1.4901161193847656e-07,49.06494140625
physical_snr,22,expanded_stats,5929,3000,0.006044620997272432,3.037494267337024,1.4971820252249017,4.534676292561926,505679.96671368653,512,0.24750916830574474,2.980232238769531e-07,49.06103515625
physical_snr,22,deepsets,5937,3000,0.006699285004287958,3.4331301569473,1.493941118940711,4.927071275888011,447405.11713246367,512,0.35387863172218204,8.940696716308594e-08,103.91455078125
physical_snr,33,mean_var,5932,2500,0.006212893989868462,2.551324979751371,1.4873752827988937,4.038700262550265,602040.1211882011,512,0.10734273043150704,2.980232238769531e-07,49.0263671875
physical_snr,33,expanded_stats,5929,2700,0.006461121956817806,3.1287908868398517,1.5319968810072169,4.660787767847069,490924.46748698957,512,0.24714743485674262,3.5762786865234375e-07,49.06103515625
physical_snr,33,deepsets,5937,2900,0.0067558439914137125,3.408378441235982,1.4790891512529925,4.887467592488974,450654.1824748192,512,0.3543286312681933,1.1920928955078125e-07,103.91455078125
